Id;IP;Port;Name;IsEnable;FromForm;Type;Platform;DepartmentId;InventoryNumber;ModelName;NumberOfWeighingsBeforeControlWeighing;MinutesBeforeControlWeighing;ControlCargoWeight;TolerableDeviationWeight;AuditDate;CreaterId;DeletedDate;DeletedUser;IsDelete;ScalePollAlgorithmId;ParseMask;TimeOutRead;NumberOfReadAttempts;PauseBeetwenRead;SourceFormId;AnswerFormat;WriteCommand;UnitId;WaitAfterSuccessWeight;LoopCount
145;192.168.159.24;1749;Автовесы МР;1;Weigth;0;0;341;;;20;60;1000.00;2.00;NULL;NULL;NULL;NULL;0;4;DELETE-->[.]<-->DELETE-->\B(0000000)\b<-->\s{1,}\d{1,}[, ]0<-->\s{3,}\d{1,};1000;1;50;3;     0.99900000000,0 25;NULL;1;1000;3
144;192.168.156.52;1749;Автовесы ОФ;1;Weigth;0;0;341;" ";" ";20;60;1000.00;2.00;2023-01-24 00:00:00.000;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;4;"DELETE-->\B(000000000)\b<-->\s{1,}\d{1,} 20<-->\s{1,}\d{1,} ";1000;1;50;3;        6000000000 20;NULL;1;1000;3
143;2313;1;Тестовые весы - ЖГОК;1;FinishProduct;0;0;356;213312;Тестовые весы - ЖГОК;20;60;1869.00;2.00;2023-01-06 23:30:48.213;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;2;NULL;0;0;0;3;NULL;NULL;1;0;3
142;10.69.4.227;1749;ЖГОК ЖД;1;Weigth;0;0;353;ЖГОК;12321;10000000;NULL;1000.00;1.00;NULL;NULL;NULL;NULL;0;4;Net:\s{2,}-?\d{1,}\s\?\?<-->d{1,};1000;1;50;NULL;"Gross:             -80 ??
Tare:               00 ?? T
Net:               -80 ??";NULL;NULL;1000;1
141;10.69.4.55;1749;ОТК.ГК;1;FinishProduct;0;0;419;ЖГОК;12321;10000000;NULL;1000.00;1.00;2022-12-06 00:00:00.000;NULL;NULL;NULL;0;4;S S\s{2,}\d{1,}.\d{1,}<-->\d{1,}.\d{1,};1000;1;50;3;S S    2073.63 g;NULL;1;1000;1
140;10.69.4.56;1749;ОТК. КФиОК;1;Proccess;0;0;420;ЖГОК;12321;10000000;NULL;1000.00;1.00;2022-12-06 00:00:00.000;NULL;NULL;NULL;0;4;S S\s{2,}\d{1,}.\d{1,}<-->\d{1,}.\d{1,};1000;1;50;NULL;S S    2073.63 g;NULL;1;1000;3
139;10.69.4.54;1749;Весы 1;1;Proccess;0;0;423;ЖГОК;12321;10000000;NULL;1000.00;1.00;2022-12-02 00:00:00.000;NULL;NULL;NULL;0;4;S S\s{2,}\d{1,}.\d{1,}<-->\d{1,}.\d{1,};1000;1;50;NULL;S S    2073.63 g;NULL;1;1000;3
136;192.168.3.11;1749;Весы 1;1;Weight;0;0;181;3000HN1;PFD779;10000000;6000;1000.00;1.00;2022-12-01 00:00:00.000;NULL;NULL;NULL;0;4;"\u00011""\s{4,}\d{1,}\s{4,}<-->\s{4,}\d{1,}\s{4,}";3000;5;150;NULL;"1""        1065       0";NULL;1;15000;1
134;Весы 1;1749;Весы 1;1;Weight;0;0;385;123456;Виртуальные;10000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;2;NULL;1000;0;0;NULL;NULL;NULL;1;1000;3
133;Весы 1;1749;Весы 1;1;Weight;0;0;229;123456;Виртуальные;10000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;2;NULL;1000;0;0;NULL;NULL;NULL;1;1000;3
132;2313;1;Тестовые весы - ЖГОК;1;FinishProduct;0;0;354;213312;Тестовые весы - ЖГОК;20;60;1000.00;2.00;2018-12-04 16:05:38.997;afd2be6f-457e-439f-a264-32c9b1592a43;NULL;NULL;0;2;NULL;0;0;0;3;NULL;NULL;1;1000;3
130;192.168.156.109;1749;ж/д Медный;1;Weigth;0;0;127;123;АГОК, ЖД;NULL;NULL;100000.00;10.00;NULL;NULL;NULL;NULL;0;4;\s{2,}\d{1,}[.]\d{2,}<-->\d{1,}[.]\d{2,};1000;1;50;2;  1  92.4500000000,0 23;NULL;NULL;1000;3
