Id;Name;IsDelete;ParentId;ShortName;DepartmentTypeId;LocalizationId;Code;FactoryId;ComplexId;IsCustomer;MasterDataCode;IsMasterData;AuditDate;CreaterId;DeletedDate;DeletedUser;ShortLocalizationId;SavedFullPathId;SavedFullPathShortName;SavedFullPathName;SavedLevel;LabWareCode
1;УКМК;0;NULL;УКМК;3;3022;UKMC;0;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;1;УКМК;УКМК;0;23
2;Участок входного контроля;0;130;УВК;1;3093;NULL;0;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;1\239\130\2;УКМК\САиТК\ОТК\УВК;УКМК\САиТК\Отдел технического контроля\Участок входного контроля;3;NULL
3;Цинковый завод;0;1;ЦЗ;4;3094;Zn;0;1;0;mdp_1;0;NULL;NULL;NULL;NULL;NULL;1\3;УКМК\ЦЗ;УКМК\Цинковый завод;1;NULL
4;Медный завод;0;1;МЗ;4;3095;Cu;0;1;0;mdp_3;0;NULL;NULL;NULL;NULL;NULL;1\4;УКМК\МЗ;УКМК\Медный завод;1;NULL
5;Свинцовый завод;0;1;СЗ;4;3096;Pb;0;1;0;mdp_2;0;NULL;NULL;NULL;NULL;NULL;1\5;УКМК\СЗ;УКМК\Свинцовый завод;1;NULL
6;КТТ;1;1;NULL;1;3097;NULL;0;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
8;Аналитическая лаборатория;1;1;NULL;1;3098;NULL;0;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
11;Участок подготовки проб СЗ;0;101;УПП СЗ;1;3099;NULL;0;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;1\239\130\101\11;УКМК\САиТК\ОТК\УСЗ\УПП СЗ;УКМК\САиТК\Отдел технического контроля\Участок по контролю качества Свинцового завода\Участок подготовки проб СЗ;4;NULL
16;Отдел технического контроля ЦЗ;1;3;ОТК ЦЗ 1;1;3100;NULL;0;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
17;Участок подготовки проб ЦПШ МЗ;0;74;УПП ЦПШ;1;3101;NULL;0;1;1;NULL;0;NULL;NULL;NULL;NULL;NULL;1\239\130\74\17;УКМК\САиТК\ОТК\УМЗ\УПП ЦПШ;УКМК\САиТК\Отдел технического контроля\Участок по контролю качества Медного завода\Участок подготовки проб ЦПШ МЗ;4;NULL
18;Входной контроль СЗ;1;5;ВК СЗ 1;1;3102;NULL;0;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
19;1;1;3;Тест1;1;3103;NULL;0;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
20;Тест;1;NULL;Тест;1;3104;NULL;0;20;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
21;Завод по производству драгоценных металлов;0;1;ЗПДМ;4;3105;PM;0;1;0;mdp_4;0;NULL;NULL;NULL;NULL;NULL;1\21;УКМК\ЗПДМ;УКМК\Завод по производству драгоценных металлов;1;NULL
22;Отделение купеляции;1;21;Купеляция;1;3106;NULL;0;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
23;Отделение аффинажа;1;21;Аффинаж;1;3107;NULL;0;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
24;Обжиговый цех;0;3;ОЦ;9;3108;NULL;0;1;1;mda_1.1;0;NULL;NULL;NULL;NULL;NULL;1\3\24;УКМК\ЦЗ\ОЦ;УКМК\Цинковый завод\Обжиговый цех;2;NULL
25;Цех выщелачивания цинкового огарка;0;3;ЦВЦО;9;3109;NULL;0;1;0;mda_1.2;0;NULL;NULL;NULL;NULL;NULL;1\3\25;УКМК\ЦЗ\ЦВЦО;УКМК\Цинковый завод\Цех выщелачивания цинкового огарка;2;44
26;Цех вельцевания цинковых кеков;0;3;ЦВЦК;9;3110;NULL;0;1;1;mda_1.4;0;NULL;NULL;NULL;NULL;NULL;1\3\26;УКМК\ЦЗ\ЦВЦК;УКМК\Цинковый завод\Цех вельцевания цинковых кеков;2;NULL
27;Цех выщелачивания окиси цинка;0;3;ЦВОЦ;9;3111;NULL;0;1;1;mda_1.5;0;NULL;NULL;NULL;NULL;NULL;1\3\27;УКМК\ЦЗ\ЦВОЦ;УКМК\Цинковый завод\Цех выщелачивания окиси цинка;2;28
28;Электролизный цех;0;3;ЭЦ;9;3112;NULL;0;1;1;mda_1.3;0;NULL;NULL;NULL;NULL;NULL;1\3\28;УКМК\ЦЗ\ЭЦ;УКМК\Цинковый завод\Электролизный цех;2;NULL
29;Плавильный участок ЦПСШ;1;5;ПУ ЦПСШ;1;3113;NULL;0;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
