Id;CargoName;CargoWeight;TolerableDeviationWeight;ActualWeight;IsManualMode;WeightId;Comment;UserId;CreationDate;AuditDate;ControlWeighingSettingsId;WeighingStatusId;CreaterId;DeletedDate;DeletedUser;IsDelete;IsManualModeSecondWeight;SecondWeightId;DateOfWeighing;ActualWeightSecond;ActualWeightThree;IsManualModeThreeWeight;ThreeWeightId
146633;Отклонение 2-х взвешиваний;1000.000000;10.000000;1010.000000;1;15;NULL;NULL;2023-08-10 11:13:47.443;2023-08-10 11:13:47.443;11;4;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;1;10;2023-08-10 11:13:47.443;NULL;NULL;0;NULL
146632;От контрольного груза;1000.000000;5.000000;1070.000000;1;15;NULL;NULL;2023-08-10 10:51:10.973;2023-08-10 10:51:10.973;10;5;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;0;10;2023-08-10 10:51:10.973;NULL;NULL;0;NULL
146631;От контрольного груза;1000.000000;5.000000;1020.000000;1;15;NULL;NULL;2023-08-10 10:23:18.080;2023-08-10 10:23:18.080;10;4;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;0;10;2023-08-10 10:23:18.080;NULL;NULL;0;NULL
146630;От контрольного груза;1000.000000;15.000000;1050.000000;1;15;NULL;NULL;2023-08-10 10:14:08.247;2023-08-10 10:14:08.247;9;5;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;0;10;2023-08-10 10:14:08.247;NULL;NULL;0;NULL
146629;От контрольного груза;1000.000000;15.000000;1010.000000;1;15;NULL;NULL;2023-08-10 10:00:04.013;2023-08-10 10:00:04.013;9;4;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;0;10;2023-08-10 10:00:04.013;NULL;NULL;0;NULL
146628;От контрольного груза;1000.000000;10.000000;1000.000000;1;112;NULL;NULL;2023-08-09 16:24:23.203;2023-08-09 16:24:23.203;8;4;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;0;119;2023-08-09 16:24:23.203;NULL;NULL;0;NULL
146627;Отклонение 2-х взвешиваний;1000.000000;1.000000;1011.000000;1;106;NULL;NULL;2023-08-09 11:13:55.377;2023-08-09 11:13:41.773;5;5;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;1;107;2023-08-09 11:13:55.377;NULL;NULL;0;NULL
146626;Отклонение 2-х взвешиваний;1000.000000;1.000000;1010.000000;1;106;NULL;NULL;2023-08-09 11:13:31.477;2023-08-09 11:13:23.780;5;4;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;1;107;2023-08-09 11:13:31.477;NULL;NULL;0;NULL
146625;Отклонение 2-х взвешиваний;1000.000000;1.000000;1001.000000;1;101;NULL;NULL;2023-08-09 11:12:41.250;2023-08-09 11:12:30.760;4;4;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;1;102;2023-08-09 11:12:41.250;NULL;NULL;0;NULL
146624;Отклонение 2-х взвешиваний;1000.000000;1.000000;1010.000000;1;101;NULL;NULL;2023-08-09 11:11:55.310;2023-08-09 11:11:42.447;4;5;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;1;102;2023-08-09 11:11:55.310;NULL;NULL;0;NULL
146623;От контрольного груза;1000.000000;1.000000;1011.000000;1;105;NULL;NULL;2023-08-09 11:11:28.557;2023-08-09 11:11:28.557;6;5;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;0;NULL;2023-08-09 11:11:28.557;NULL;NULL;0;NULL
146622;От контрольного груза;1000.000000;1.000000;1010.000000;1;105;NULL;NULL;2023-08-09 11:11:19.530;2023-08-09 11:11:19.530;6;4;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;0;NULL;2023-08-09 11:11:19.530;NULL;NULL;0;NULL
146621;От контрольного груза;0.000000;12.000000;0.000000;1;10;NULL;NULL;2023-08-09 10:45:07.817;2023-08-09 10:45:07.817;3;4;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;0;13;2023-08-09 10:45:07.817;NULL;NULL;0;NULL
146620;От контрольного груза;0.000000;12.000000;111.000000;1;10;NULL;NULL;2023-08-09 10:44:40.490;2023-08-09 10:44:40.490;3;5;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;0;13;2023-08-09 10:44:40.490;NULL;NULL;0;NULL
146612;Контрольный груз;1126.000000;2.000000;1126.000000;1;34;NULL;6d7299f3-2785-4a9e-a2ba-d32bd062fdfe;2023-05-17 15:29:44.927;2023-05-17 15:29:48.807;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146611;Контрольный груз;1122.000000;2.000000;1122.000000;1;32;NULL;cdfdd733-a377-48ce-814f-96fb1eb6c4cf;2023-05-17 15:22:47.143;2023-05-17 15:22:55.800;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146610;Контрольный груз;1126.000000;2.000000;1126.000000;1;37;NULL;4dcf20ff-a6f2-420c-a37a-3d6ff1e37d42;2023-05-17 15:17:05.063;2023-05-17 15:17:13.677;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146609;Контрольный груз;1869.000000;2.000000;1869.000000;1;143;NULL;c116f8cd-0a7a-4c21-b8f7-593da83cef94;2023-05-17 14:55:49.763;2023-05-17 14:55:54.560;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146608;Контрольный груз;1869.000000;2.000000;1869.000000;1;143;NULL;c116f8cd-0a7a-4c21-b8f7-593da83cef94;2023-05-17 14:53:17.913;2023-05-17 14:53:22.260;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146607;Контрольный груз;1126.000000;2.000000;1126.000000;1;34;NULL;6d7299f3-2785-4a9e-a2ba-d32bd062fdfe;2023-05-17 14:50:18.683;2023-05-17 14:50:22.603;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146606;Контрольный груз;1869.000000;2.000000;1869.000000;1;143;NULL;c116f8cd-0a7a-4c21-b8f7-593da83cef94;2023-05-17 14:47:55.487;2023-05-17 14:48:00.150;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146605;Контрольный груз;1126.000000;2.000000;1126.000000;1;34;NULL;6d7299f3-2785-4a9e-a2ba-d32bd062fdfe;2023-05-17 14:47:31.387;2023-05-17 14:47:35.360;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146604;Контрольный груз;1087.000000;2.000000;1087.000000;1;31;NULL;ea910350-72e1-4212-a325-8f51ea047822;2023-05-17 14:15:57.847;2023-05-17 14:30:53.420;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146603;Контрольный груз;1000.000000;1.000000;1000.000000;0;136;NULL;b885da1a-0eed-43ec-9a6e-a3aca91f12aa;2023-05-17 14:26:54.463;2023-05-17 14:26:53.573;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146602;Контрольный груз;1122.000000;2.000000;1123.000000;0;32;NULL;cdfdd733-a377-48ce-814f-96fb1eb6c4cf;2023-05-17 14:21:08.513;2023-05-17 14:21:01.763;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146601;Контрольный груз;1000.000000;2.000000;1000.000000;1;132;NULL;f11a579b-ab02-4276-80d2-76e961b5d6da;2023-05-17 14:19:24.330;2023-05-17 14:19:28.517;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146600;Контрольный груз;1914.000000;2.000000;1914.000000;0;69;NULL;6ed6653d-2225-48a3-b4c2-d24372233352;2023-05-17 14:19:13.177;2023-05-17 14:18:50.197;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146599;Контрольный груз;1914.000000;2.000000;1914.000000;0;69;NULL;6ed6653d-2225-48a3-b4c2-d24372233352;2023-05-17 14:19:13.177;2023-05-17 14:19:08.783;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146598;Контрольный груз;1122.000000;2.000000;1123.000000;0;32;NULL;cdfdd733-a377-48ce-814f-96fb1eb6c4cf;2023-05-17 13:14:59.527;2023-05-17 13:14:54.463;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146597;Контрольный груз;1000.000000;1.000000;1000.000000;0;136;NULL;b885da1a-0eed-43ec-9a6e-a3aca91f12aa;2023-05-17 13:08:14.427;2023-05-17 13:08:13.553;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146596;Контрольный груз;1122.000000;2.000000;1122.000000;0;32;NULL;cdfdd733-a377-48ce-814f-96fb1eb6c4cf;2023-05-17 12:43:54.960;2023-05-17 12:43:48.350;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146595;Контрольный груз;1122.000000;2.000000;1122.000000;0;32;NULL;cdfdd733-a377-48ce-814f-96fb1eb6c4cf;2023-05-17 12:43:54.960;2023-05-17 12:43:46.717;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146594;Контрольный груз;1122.000000;2.000000;1122.000000;1;32;NULL;9b41ec06-3bb4-443c-8ee0-5c60085555d7;2023-05-17 12:43:29.677;2023-05-17 12:43:33.860;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146593;Контрольный груз;1126.000000;2.000000;1126.000000;1;34;NULL;dc5c0228-c2f2-40fc-91e4-310d151cfb35;2023-05-17 12:30:39.767;2023-05-17 12:30:43.437;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146592;Контрольный груз;1126.000000;2.000000;1126.000000;1;34;NULL;dc5c0228-c2f2-40fc-91e4-310d151cfb35;2023-05-17 12:27:07.563;2023-05-17 12:27:12.103;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146591;Контрольный груз;1914.000000;2.000000;1914.000000;1;69;NULL;6ed6653d-2225-48a3-b4c2-d24372233352;2023-05-17 12:24:16.800;2023-05-17 12:24:21.310;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146590;Контрольный груз;1122.000000;2.000000;1122.000000;0;32;NULL;cdfdd733-a377-48ce-814f-96fb1eb6c4cf;2023-05-17 12:18:32.987;2023-05-17 12:18:24.963;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146589;Контрольный груз;1000.000000;1.000000;1000.000000;0;136;NULL;b885da1a-0eed-43ec-9a6e-a3aca91f12aa;2023-05-17 12:00:31.553;2023-05-17 12:00:30.693;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146588;Контрольный груз;1087.000000;2.000000;1087.000000;1;31;NULL;ea910350-72e1-4212-a325-8f51ea047822;2023-05-17 11:30:34.747;2023-05-17 11:30:39.410;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146587;Контрольный груз;1087.000000;2.000000;1087.000000;1;31;NULL;ea910350-72e1-4212-a325-8f51ea047822;2023-05-17 11:29:34.677;2023-05-17 11:29:40.000;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146586;Контрольный груз;1122.000000;2.000000;1122.000000;0;32;NULL;cdfdd733-a377-48ce-814f-96fb1eb6c4cf;2023-05-17 11:05:07.177;2023-05-17 11:05:02.537;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146585;Контрольный груз;1000.000000;1.000000;1000.000000;0;136;NULL;b885da1a-0eed-43ec-9a6e-a3aca91f12aa;2023-05-17 11:01:40.500;2023-05-17 11:01:39.623;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146584;Контрольный груз;1000.000000;1.000000;1000.000000;0;136;NULL;b885da1a-0eed-43ec-9a6e-a3aca91f12aa;2023-05-17 09:52:29.303;2023-05-17 09:52:28.413;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146583;Контрольный груз;1000.000000;2.000000;1000.000000;1;132;NULL;f11a579b-ab02-4276-80d2-76e961b5d6da;2023-05-17 09:36:00.063;2023-05-17 09:36:04.907;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146582;Контрольный груз;1000.000000;1.000000;1000.000000;0;136;NULL;b885da1a-0eed-43ec-9a6e-a3aca91f12aa;2023-05-17 09:19:52.873;2023-05-17 09:19:52.000;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146581;Медь катодная 2023-269 14;2596.000000;2.000000;2596.000000;0;69;NULL;6ed6653d-2225-48a3-b4c2-d24372233352;2023-05-17 09:18:41.580;2023-05-17 09:18:35.343;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146580;Медь катодная 2023-261 6;2537.000000;2.000000;2535.000000;0;69;NULL;6ed6653d-2225-48a3-b4c2-d24372233352;2023-05-17 09:12:18.867;2023-05-17 09:12:12.780;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146579;Медь катодная 2023-261 16;2635.000000;2.000000;2633.000000;0;69;NULL;6ed6653d-2225-48a3-b4c2-d24372233352;2023-05-17 09:05:45.630;2023-05-17 09:05:37.907;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146578;Медь катодная 2023-269 10;2537.000000;2.000000;2536.000000;0;69;NULL;6ed6653d-2225-48a3-b4c2-d24372233352;2023-05-17 08:59:47.113;2023-05-17 08:59:40.973;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146577;Медь катодная 2023-269 5;2595.000000;2.000000;2536.000000;0;69;NULL;6ed6653d-2225-48a3-b4c2-d24372233352;2023-05-17 08:58:54.423;2023-05-17 08:58:46.977;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146576;Контрольный груз;1914.000000;2.000000;1914.000000;0;69;NULL;6ed6653d-2225-48a3-b4c2-d24372233352;2023-05-17 08:37:56.193;2023-05-17 08:37:49.643;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146575;Контрольный груз;12.000000;1.000000;12.000000;1;40;NULL;62075885-1a31-41cc-aabd-4e2fe9fd212a;2023-05-17 08:30:59.590;2023-05-17 08:31:03.813;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146574;Контрольный груз;12.000000;1.000000;12.000000;1;40;NULL;62075885-1a31-41cc-aabd-4e2fe9fd212a;2023-05-17 08:30:16.023;2023-05-17 08:30:19.787;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146573;Контрольный груз;1000.000000;1.000000;1000.000000;0;136;NULL;b885da1a-0eed-43ec-9a6e-a3aca91f12aa;2023-05-17 08:26:55.847;2023-05-17 08:26:55.003;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146572;Контрольный груз;1000.000000;2.000000;1000.000000;1;132;NULL;c116f8cd-0a7a-4c21-b8f7-593da83cef94;2023-05-17 06:53:10.820;2023-05-17 06:53:16.087;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146571;Контрольный груз;1126.000000;2.000000;1126.000000;1;34;NULL;570837b8-223c-4089-891d-e0fdc798e1bd;2023-05-17 06:50:33.283;2023-05-17 06:50:36.833;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146570;Контрольный груз;1000.000000;2.000000;1000.000000;1;132;NULL;c116f8cd-0a7a-4c21-b8f7-593da83cef94;2023-05-17 06:49:50.643;2023-05-17 06:49:56.993;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146569;Контрольный груз;1000.000000;2.000000;1000.000000;1;132;NULL;c116f8cd-0a7a-4c21-b8f7-593da83cef94;2023-05-17 06:45:37.007;2023-05-17 06:47:03.797;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146568;Контрольный груз;1126.000000;2.000000;1126.000000;1;34;NULL;570837b8-223c-4089-891d-e0fdc798e1bd;2023-05-17 06:18:46.733;2023-05-17 06:18:52.327;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146567;Контрольный груз;1087.000000;2.000000;1087.000000;0;31;NULL;a9305fb3-e986-43da-99be-22485852bcaa;2023-05-17 06:05:58.377;2023-05-17 06:05:58.237;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146566;Контрольный груз;1126.000000;2.000000;1126.000000;1;34;NULL;570837b8-223c-4089-891d-e0fdc798e1bd;2023-05-17 04:07:04.253;2023-05-17 04:07:08.733;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146565;Контрольный груз;1126.000000;2.000000;1126.000000;1;34;NULL;570837b8-223c-4089-891d-e0fdc798e1bd;2023-05-17 04:04:26.047;2023-05-17 04:04:32.233;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146564;Контрольный груз;80350000.000000;150.000000;80350000.000000;1;45;NULL;da1341ca-4e3b-4762-8451-2ccccc2a8da2;2023-05-17 02:40:07.063;2023-05-17 02:40:30.650;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
146563;Контрольный груз;1122.000000;2.000000;1122.000000;1;32;NULL;60db5767-b4e6-41bd-9899-a2d46cb13d34;2023-05-17 02:35:49.607;2023-05-17 02:36:03.910;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;0;NULL
