Id;Name;AuditDate;CreaterId;DeletedDate;DeletedUser;IsDelete
1;ПККА;2023-07-13 11:10:45.610;NULL;NULL;NULL;0
2;Весовая группа;2023-07-13 11:10:45.610;NULL;NULL;NULL;0
3;Сеть;2023-07-13 11:10:45.610;NULL;NULL;NULL;0
4;ИТ;2023-07-13 11:10:45.610;NULL;NULL;NULL;0
5;Взвешивание;2023-07-13 11:10:45.610;NULL;NULL;NULL;0
6;ПККА;2023-07-14 13:30:04.800;NULL;NULL;NULL;0
7;Весовая группа;2023-07-14 13:30:04.800;NULL;NULL;NULL;0
8;Сеть;2023-07-14 13:30:04.800;NULL;NULL;NULL;0
9;ИТ;2023-07-14 13:30:04.800;NULL;NULL;NULL;0
10;Взвешивание;2023-07-14 13:30:04.800;NULL;NULL;NULL;0
11;ПККА;2023-07-28 11:24:46.787;NULL;NULL;NULL;0
12;Весовая группа;2023-07-28 11:24:46.787;NULL;NULL;NULL;0
13;Сеть;2023-07-28 11:24:46.787;NULL;NULL;NULL;0
14;ИТ;2023-07-28 11:24:46.787;NULL;NULL;NULL;0
15;Взвешивание;2023-07-28 11:24:46.787;NULL;NULL;NULL;0
16;ПККА;2023-08-03 11:11:58.357;NULL;NULL;NULL;0
17;Весовая группа;2023-08-03 11:11:58.357;NULL;NULL;NULL;0
18;Сеть;2023-08-03 11:11:58.357;NULL;NULL;NULL;0
19;ИТ;2023-08-03 11:11:58.357;NULL;NULL;NULL;0
20;Взвешивание;2023-08-03 11:11:58.357;NULL;NULL;NULL;0
21;ПККА;2023-08-08 14:52:34.117;NULL;NULL;NULL;0
22;Весовая группа;2023-08-08 14:52:34.117;NULL;NULL;NULL;0
23;Сеть;2023-08-08 14:52:34.117;NULL;NULL;NULL;0
24;ИТ;2023-08-08 14:52:34.117;NULL;NULL;NULL;0
25;Взвешивание;2023-08-08 14:52:34.117;NULL;NULL;NULL;0
26;ПККА;2023-08-11 11:59:47.237;NULL;NULL;NULL;0
27;Весовая группа;2023-08-11 11:59:47.237;NULL;NULL;NULL;0
28;Сеть;2023-08-11 11:59:47.237;NULL;NULL;NULL;0
29;ИТ;2023-08-11 11:59:47.237;NULL;NULL;NULL;0
30;Взвешивание;2023-08-11 11:59:47.237;NULL;NULL;NULL;0
